Student_ID,Name,Math,Science,English,Total,Grade
1,Ric,42,16,85,143,D
2,Abigail,79,100,56,235,B
3,Sonnie,98,53,97,248,B
4,Roderick,73,38,72,183,C
5,Collin,80,81,56,217,B
6,Caprice,23,27,21,71,D
7,Cassondra,16,55,28,99,D
8,Abelard,46,12,79,137,D
9,Rhody,22,6,39,67,D
10,Marget,19,42,57,118,D
11,Shellysheldon,21,26,57,104,D
12,Eilis,64,59,47,170,C
13,Aaren,56,58,25,139,D
14,Priscilla,6,0,64,70,D
15,Melisandra,68,100,61,229,B
16,Michaelina,93,13,34,140,D
17,Gabriel,5,33,9,47,D
18,Dagny,78,2,66,146,D
19,Seumas,69,40,72,181,C
20,Brittaney,75,88,33,196,C
21,Pernell,23,67,96,186,C
22,Zelma,56,20,61,137,D
23,Kerr,0,20,67,87,D
24,Aloise,91,68,11,170,C
25,Dean,42,24,38,104,D
26,Faye,66,17,44,127,D
27,Christy,57,11,43,111,D
28,Elden,49,38,77,164,C
29,Justine,80,40,81,201,B
30,Eustacia,22,83,71,176,C
31,Rickert,36,33,34,103,D
32,Muffin,45,79,65,189,C
33,Blisse,22,69,22,113,D
34,Rebecka,62,99,3,164,C
35,Valeria,49,24,72,145,D
36,Guthry,65,97,26,188,C
37,Eugenius,21,67,52,140,D
38,Zitella,25,89,21,135,D
39,Madelene,75,40,21,136,D
40,Nikoletta,71,55,89,215,B
41,Louisa,23,69,0,92,D
42,Bryan,16,85,3,104,D
43,Husain,60,90,91,241,B
44,Jamill,35,18,82,135,D
45,Nickie,28,31,77,136,D
46,Koo,2,67,54,123,D
47,Gherardo,54,40,38,132,D
48,Valdemar,74,94,3,171,C
49,Jose,13,31,74,118,D
50,Wallie,16,12,15,43,D
51,Cindie,28,71,7,106,D
52,Donal,16,52,84,152,C
53,Louisette,38,66,82,186,C
54,Levi,53,75,65,193,C
55,Nico,2,84,95,181,C
56,Nadine,7,5,17,29,D
57,Corinne,14,92,35,141,D
58,Alena,76,0,95,171,C
59,Rivalee,6,16,16,38,D
60,Julie,100,92,50,242,B
61,Ignacius,60,85,23,168,C
62,Geoffrey,8,85,6,99,D
63,Gilbertine,52,55,37,144,D
64,Clyde,62,7,9,78,D
65,Marius,91,80,0,171,C
66,Egan,86,63,12,161,C
67,Avis,71,47,68,186,C
68,Randi,32,63,31,126,D
69,Barbe,4,31,91,126,D
70,El,83,58,97,238,B
71,Angus,67,39,54,160,C
72,Ad,14,30,86,130,D
73,Siusan,98,27,100,225,B
74,Giorgio,61,14,63,138,D
75,Kristopher,87,45,37,169,C
76,Lorens,69,57,90,216,B
77,Malissa,17,59,72,148,D
78,Quinton,89,65,53,207,B
79,Brose,44,55,39,138,D
80,Alayne,71,65,72,208,B
81,Ozzie,69,35,20,124,D
82,Sayres,32,82,44,158,C
83,Carter,75,17,85,177,C
84,Kristina,0,25,67,92,D
85,Alanah,53,5,52,110,D
86,Cart,56,61,1,118,D
87,Augustina,45,51,64,160,C
88,Hervey,89,57,52,198,C
89,Danita,93,32,97,222,B
90,Corabel,75,33,17,125,D
91,Tiffi,75,1,70,146,D
92,Dominica,2,20,89,111,D
93,Elwira,24,57,6,87,D
94,Iorgos,20,34,47,101,D
95,Adda,98,86,79,263,A
96,Carlie,50,66,72,188,C
97,Marshal,1,29,94,124,D
98,Hobey,61,38,30,129,D
99,Joelie,37,29,42,108,D
100,Clemmie,90,43,99,232,B
